Home Team,Away Team
NYG,PHI
NYJ,DEN
BAL,LAR
CAR,DAL
IND,ARI
JAX,SEA
MIA,LAC
PIT,CLE
TB,SF
LV,TEN
GB,CIN
NO,NE
KC,DET
ATL,BUF
WAS,CHI
