Home Team,Away Team
CIN,PIT
JAX,LAR
CHI,NO
CLE,MIA
KC,LV
MIN,PHI
NYJ,CAR
TEN,NE
DEN,NYG
LAC,IND
ARI,GB
DAL,WAS
SF,ATL
DET,TB
SEA,HOU
