Home Team,Away Team
WAS,DAL
MIN,DET
KC,DEN
CLE,PIT
IND,JAX
MIA,TB
NYJ,NE
TEN,NO
BUF,PHI
SF,CHI
ATL,LAR
CAR,SEA
CIN,ARI
GB,BAL
LAC,HOU
LV,NYG
