home_team,away_team,home_score,away_score,winner
LAC,MIN,21,13,LAC
ATL,MIA,17,10,ATL
BAL,CHI,24,21,BAL
CAR,BUF,38,45,BUF
CIN,NYJ,34,37,NYJ
HOU,SF,7,41,SF
NE,CLE,10,28,CLE
PHI,NYG,21,38,NYG
NO,TB,49,27,NO
DEN,DAL,28,10,DEN
IND,TEN,35,24,IND
PIT,GB,49,37,PIT
KC,WAS,14,42,WAS
