Home Team,Away Team
MIA,BAL
CIN,CHI
DET,MIN
GB,CAR
HOU,DEN
NE,ATL
NYG,SF
PIT,IND
TEN,LAC
LAR,NO
LV,JAX
BUF,KC
WAS,SEA
DAL,ARI

