Home Team,Away Team
LAC,MIN
ATL,MIA
BAL,CHI
CAR,BUF
CIN,NYJ
HOU,SF
NE,CLE
PHI,NYG
NO,TB
DEN,DAL
IND,TEN
PIT,GB
KC,WAS
