home_team,away_team,home_score,away_score,winner
SEA,LAR,38,31,SEA
BAL,NE,52,38,BAL
CAR,TB,24,41,TB
CLE,BUF,48,31,CLE
DAL,LAC,6,27,LAC
NO,NYJ,10,24,NYJ
NYG,MIN,35,21,NYG
TEN,KC,39,37,TEN
ARI,ATL,20,14,ARI
DEN,JAX,21,28,JAX
DET,PIT,63,10,DET
HOU,LV,31,24,HOU
MIA,CIN,34,21,MIA
IND,SF,35,31,IND
CHI,GB,7,28,GB
WAS,PHI,21,37,PHI
