home_team,away_team,home_score,away_score,winner
HOU,BUF,28,36,BUF
BAL,NYJ,35,34,BAL
CHI,PIT,42,24,CHI
CIN,NE,31,24,CIN
DET,NYG,49,45,DET
GB,MIN,10,41,MIN
KC,IND,41,30,KC
TEN,SEA,28,24,TEN
ARI,JAX,21,24,JAX
LV,CLE,31,10,LV
DAL,PHI,24,38,PHI
NO,ATL,35,31,NO
LAR,TB,20,33,TB
SF,CAR,24,41,CAR
