Home Team,Away Team
PHI,DAL
LAC,KC
ATL,TB
CLE,CIN
IND,MIA
JAX,CAR
NE,LV
NO,ARI
NYJ,PIT
WAS,NYG
DEN,TEN
SEA,SF
GB,DET
LAR,HOU
BUF,BAL
CHI,MIN
