Home Team,Away Team
NE,NYJ
MIA,WAS
ATL,CAR
BUF,TB
JAX,LAC
MIN,CHI
NYG,GB
PIT,CIN
TEN,HOU
ARI,SF
LAR,SEA
CLE,BAL
DEN,KC
PHI,DET
LV,DAL
