home_team,away_team,home_score,away_score,winner
BUF,MIA,49,20,BUF
CAR,ATL,10,14,ATL
CLE,GB,42,21,CLE
JAX,HOU,34,28,JAX
MIN,CIN,42,31,MIN
NE,PIT,24,50,PIT
PHI,LAR,31,21,PHI
TB,NYJ,24,35,NYJ
TEN,IND,38,31,TEN
WAS,LV,49,23,WAS
LAC,DEN,24,28,DEN
SEA,NO,31,26,SEA
CHI,DAL,42,28,CHI
SF,ARI,30,21,SF
NYG,KC,10,49,KC
BAL,DET,24,31,DET
