Home Team,Away Team
DET,GB
DAL,KC
BAL,CIN
PHI,CHI
CAR,LV
CLE,SF
IND,HOU
MIA,NO
NYJ,ATL
TB,ARI
TEN,JAX
SEA,MIN
LAC,LV
PIT,BUF
WAS,DEN
NE,NYG
