home_team,away_team,home_score,away_score,winner
DET,DAL,41,14,DET
ATL,SEA,42,48,SEA
BAL,PIT,21,28,PIT
CLE,TEN,35,28,CLE
GB,CHI,30,42,CHI
JAX,IND,42,20,JAX
MIN,WAS,0,35,WAS
NYJ,MIA,10,44,MIA
TB,NO,24,31,NO
LV,DEN,49,38,LV
ARI,LAR,21,31,LAR
BUF,CIN,59,28,BUF
KC,HOU,14,28,HOU
LAC,PHI,38,14,LAC
