home_team,away_team,home_score,away_score,winner
DEN,LV,31,14,DEN
IND,ATL,31,14,IND
CAR,NO,44,35,CAR
CHI,NYG,42,21,CHI
HOU,JAX,24,45,JAX
MIA,BUF,14,38,BUF
MIN,BAL,41,35,MIN
NYJ,CLE,48,24,NYJ
TB,NE,16,23,NE
SEA,ARI,55,35,SEA
SF,LAR,35,6,SF
WAS,DET,13,24,DET
LAC,PIT,13,28,PIT
GB,PHI,27,42,PHI
