Home Team,Away Team
TB,ATL
CHI,CLE
CIN,BAL
HOU,ARI
JAX,NYJ
KC,LAC
NE,BUF
NYG,WAS
PHI,LV
DEN,GB
LAR,DET
NO,CAR
SEA,IND
SF,TEN
DAL,MIN
PIT,MIA
