home_team,away_team,home_score,away_score,winner
MIA,BAL,7,21,BAL
CIN,CHI,27,20,CIN
DET,MIN,28,48,MIN
GB,CAR,34,14,GB
HOU,DEN,28,31,DEN
NE,ATL,21,45,ATL
NYG,SF,21,48,SF
PIT,IND,28,24,PIT
TEN,LAC,10,49,LAC
LAR,NO,44,10,LAR
LV,JAX,56,21,LV
BUF,KC,3,34,KC
WAS,SEA,3,35,SEA
DAL,ARI,35,27,DAL
