Home Team,Away Team
GB,WAS
BAL,CLE
CIN,JAX
DAL,NYG
DET,CHI
MIA,NE
NO,SF
NYJ,BUF
PIT,SEA
TEN,LAR
ARI,CAR
IND,DEN
KC,PHI
MIN,ATL
HOU,TB
LV,LAC
