home_team,away_team,home_score,away_score,winner
NYG,PHI,24,49,PHI
NYJ,DEN,7,34,DEN
BAL,LAR,21,31,LAR
CAR,DAL,28,24,CAR
IND,ARI,27,31,ARI
JAX,SEA,22,31,SEA
MIA,LAC,17,10,MIA
PIT,CLE,17,31,CLE
TB,SF,31,37,SF
LV,TEN,48,34,LV
GB,CIN,49,7,GB
NO,NE,14,47,NE
KC,DET,40,21,KC
ATL,BUF,48,34,ATL
WAS,CHI,48,41,WAS
