home_team,away_team,home_score,away_score,winner
TB,ATL,51,28,TB
CHI,CLE,31,35,CLE
CIN,BAL,28,21,CIN
HOU,ARI,45,24,HOU
JAX,NYJ,21,45,NYJ
KC,LAC,38,21,KC
NE,BUF,28,13,NE
NYG,WAS,14,20,WAS
PHI,LV,48,10,PHI
DEN,GB,38,31,DEN
LAR,DET,27,28,DET
NO,CAR,38,28,NO
SEA,IND,21,42,IND
SF,TEN,35,31,SF
DAL,MIN,20,13,DAL
PIT,MIA,27,9,PIT
