home_team,away_team,home_score,away_score,winner
ATL,NO,34,49,NO
BUF,NYJ,35,41,NYJ
CHI,DET,42,35,CHI
CIN,CLE,30,7,CIN
DEN,LAC,31,55,LAC
HOU,IND,24,37,IND
JAX,TEN,40,14,JAX
LAR,ARI,14,31,ARI
LV,KC,16,55,KC
MIN,GB,10,31,GB
NE,MIA,59,21,NE
NYG,DAL,21,24,DAL
PHI,WAS,28,20,PHI
PIT,BAL,14,45,BAL
SF,SEA,13,24,SEA
TB,CAR,49,28,TB
