Home Team,Away Team
ATL,NO
BUF,NYJ
CHI,DET
CIN,CLE
DEN,LAC
HOU,IND
JAX,TEN
LAR,ARI
LV,KC
MIN,GB
NE,MIA
NYG,DAL
PHI,WAS
PIT,BAL
SF,SEA
TB,CAR
