Home Team,Away Team
HOU,BUF
BAL,NYJ
CHI,PIT
CIN,NE
DET,NYG
GB,MIN
KC,IND
TEN,SEA
ARI,JAX
LV,CLE
DAL,PHI
NO,ATL
LAR,TB
SF,CAR
