home_team,away_team,home_score,away_score,winner
NE,NYJ,42,16,NE
MIA,WAS,38,21,MIA
ATL,CAR,35,27,ATL
BUF,TB,24,17,BUF
JAX,LAC,21,24,LAC
MIN,CHI,27,34,CHI
NYG,GB,24,28,GB
PIT,CIN,9,65,CIN
TEN,HOU,14,49,HOU
ARI,SF,21,35,SF
LAR,SEA,14,42,SEA
CLE,BAL,17,30,BAL
DEN,KC,28,41,KC
PHI,DET,28,45,DET
LV,DAL,21,7,LV
