Home Team,Away Team
DET,DAL
ATL,SEA
BAL,PIT
CLE,TEN
GB,CHI
JAX,IND
MIN,WAS
NYJ,MIA
TB,NO
LV,DEN
ARI,LAR
BUF,CIN
KC,HOU
LAC,PHI
