home_team,away_team,home_score,away_score,winner
LAR,SF,23,24,SF
CLE,MIN,27,45,MIN
BAL,HOU,34,45,HOU
CAR,MIA,23,28,MIA
IND,LV,34,21,IND
NO,NYG,35,28,NO
NYJ,DAL,28,20,NYJ
PHI,DEN,35,21,PHI
ARI,TEN,13,42,TEN
SEA,TB,13,70,TB
CIN,DET,24,21,CIN
LAC,WAS,31,21,LAC
BUF,NE,38,13,BUF
JAX,KC,24,21,JAX
