home_team,away_team,home_score,away_score,winner
ARI,SEA,28,17,ARI
PIT,MIN,45,13,PIT
ATL,WAS,27,6,ATL
BUF,NO,21,42,NO
DET,CLE,24,28,CLE
HOU,TEN,66,28,HOU
NE,CAR,28,17,NE
NYG,LAC,28,21,NYG
TB,PHI,52,14,TB
LAR,IND,21,56,IND
SF,JAX,30,45,JAX
KC,BAL,21,28,BAL
LV,CHI,7,30,CHI
DAL,GB,42,24,DAL
MIA,NYJ,45,24,MIA
DEN,CIN,34,17,DEN
