home_team,away_team,home_score,away_score,winner
PHI,DAL,27,35,DAL
LAC,KC,28,34,KC
ATL,TB,49,35,ATL
CLE,CIN,17,38,CIN
IND,MIA,14,38,MIA
JAX,CAR,28,24,JAX
NE,LV,38,28,NE
NO,ARI,24,56,ARI
NYJ,PIT,24,49,PIT
WAS,NYG,48,13,WAS
DEN,TEN,20,28,TEN
SEA,SF,20,24,SF
GB,DET,42,35,GB
LAR,HOU,33,55,HOU
BUF,BAL,63,0,BUF
CHI,MIN,7,50,MIN
