Home Team,Away Team
LAR,SF
CLE,MIN
BAL,HOU
CAR,MIA
IND,LV
NO,NYG
NYJ,DAL
PHI,DEN
ARI,TEN
SEA,TB
CIN,DET
LAC,WAS
BUF,NE
JAX,KC
