home_team,away_team,home_score,away_score,winner
CIN,PIT,56,17,CIN
JAX,LAR,21,17,JAX
CHI,NO,23,35,NO
CLE,MIA,27,21,CLE
KC,LV,7,28,LV
MIN,PHI,27,31,PHI
NYJ,CAR,38,31,NYJ
TEN,NE,35,45,NE
DEN,NYG,28,21,DEN
LAC,IND,41,21,LAC
ARI,GB,21,70,GB
DAL,WAS,34,21,DAL
SF,ATL,42,28,SF
DET,TB,27,24,DET
SEA,HOU,35,38,HOU
